nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,fecha_procesamiento
54016969,(2020 JR),25.1,0.0253837029,0.0567596853,False,2025-01-05,17.1434128424,47817840.01879432,2026-04-15 20:51:40.359693,0.0410716941,2026-04-15 15:56:41
54091635,(2020 WR1),24.45,0.0342416731,0.0765667087,False,2025-01-05,22.9134713332,71002234.961983,2026-04-15 20:51:40.359701,0.0554041909,2026-04-15 15:56:41
54186208,(2021 PB23),25.58,0.0203495578,0.0455029946,False,2025-01-05,7.7322038379,72030480.99156056,2026-04-15 20:51:40.359709,0.0329262762,2026-04-15 15:56:41
54509098,(2024 YT3),26.49,0.0133830462,0.029925401,False,2025-01-05,7.0691275737,4148544.30991822,2026-04-15 20:51:40.359726,0.0216542236,2026-04-15 15:56:41
54515312,(2025 AG3),28.31,0.0057883526,0.0129431498,False,2025-01-05,7.4557831385,2096621.912179453,2026-04-15 20:51:40.359738,0.0093657512,2026-04-15 15:56:41
54514251,(2025 AJ1),23.53,0.0523064176,0.1169607054,False,2025-01-05,11.2885158668,23538786.747137703,2026-04-15 20:51:40.359747,0.08463356150000001,2026-04-15 15:56:41
54514895,(2025 AY1),23.18,0.0614546821,0.1374168468,False,2025-01-05,16.7177568867,13787514.424296966,2026-04-15 20:51:40.359756,0.09943576444999999,2026-04-15 15:56:41
54517641,(2025 BQ5),24.68,0.0308003021,0.0688715693,False,2025-01-05,9.1290174796,6758138.904065095,2026-04-15 20:51:40.359765,0.0498359357,2026-04-15 15:56:41
3879137,(2019 TK6),22.64,0.0788052183,0.1762138252,False,2025-01-04,10.4616436925,40607718.033261456,2026-04-15 20:51:40.359774,0.12750952175,2026-04-15 15:56:41
54054327,(2020 RV6),24.8,0.0291443905,0.0651688382,False,2025-01-04,13.4665770199,58565088.34539877,2026-04-15 20:51:40.359782,0.04715661435,2026-04-15 15:56:41
54105109,(2021 AO4),27.64,0.0078805218,0.0176213825,False,2025-01-04,15.116292581,2640732.672717599,2026-04-15 20:51:40.359790,0.012750952150000001,2026-04-15 15:56:41
54209222,(2021 TK13),25.41,0.0220067027,0.0492084832,False,2025-01-04,4.2041914966,21922839.486390542,2026-04-15 20:51:40.359799,0.03560759295,2026-04-15 15:56:41
54415867,(2023 XU7),24.91,0.0277047973,0.06194981,False,2025-01-04,14.3078893462,49287093.762428805,2026-04-15 20:51:40.359858,0.04482730365,2026-04-15 15:56:41
54508752,(2024 YU1),25.23,0.0239086457,0.0534613571,False,2025-01-04,7.3103291233,2248832.194823476,2026-04-15 20:51:40.359874,0.0386850014,2026-04-15 15:56:41
54511083,(2024 YL7),25.39,0.0222103282,0.0496638037,False,2025-01-04,7.2627755797,4873440.221766533,2026-04-15 20:51:40.359884,0.03593706595,2026-04-15 15:56:41
54513046,(2024 YG13),27.02,0.0104846751,0.0234444462,False,2025-01-04,11.7976038512,740234.749931319,2026-04-15 20:51:40.359892,0.016964560650000002,2026-04-15 15:56:41
54512613,(2024 YX9),26.86,0.011286388,0.0252371308,False,2025-01-04,11.2058479342,2195623.733054634,2026-04-15 20:51:40.359900,0.0182617594,2026-04-15 15:56:41
54514253,(2025 AL1),22.5,0.0840533402,0.1879489824,False,2025-01-04,17.650680702,12979369.048088731,2026-04-15 20:51:40.359907,0.1360011613,2026-04-15 15:56:41
54514899,(2025 AC2),25.33,0.0228325794,0.0510551996,False,2025-01-04,6.3310086637,3601259.905366959,2026-04-15 20:51:40.359913,0.0369438895,2026-04-15 15:56:41
54514896,(2025 AZ1),27.48,0.0084831076,0.0189688053,False,2025-01-04,13.8758628752,2609350.809457923,2026-04-15 20:51:40.359918,0.01372595645,2026-04-15 15:56:41
54516261,(2025 BS),23.64,0.0497227313,0.1111834072,False,2025-01-04,14.8357396277,11861258.111943033,2026-04-15 20:51:40.359925,0.08045306925000001,2026-04-15 15:56:41
54606455,(2026 FJ),27.442,0.0086328655,0.0193036742,False,2025-01-04,2.3653971132,10808968.009589069,2026-04-15 20:51:40.359929,0.01396826985,2026-04-15 15:56:41
3553148,(2010 XB11),19.69,0.3065878759,0.6855513317,False,2025-01-03,18.9395018272,19016653.471642923,2026-04-15 20:51:40.359994,0.4960696038,2026-04-15 15:56:41
3645041,(2013 NC15),22.14,0.0992098919,0.2218400624,False,2025-01-03,12.0604970908,25616443.389347907,2026-04-15 20:51:40.359999,0.16052497715,2026-04-15 15:56:41
3647191,(2013 RT9),26.5,0.0133215567,0.0297879063,False,2025-01-03,4.5094400585,36530806.76349979,2026-04-15 20:51:40.360004,0.0215547315,2026-04-15 15:56:41
3837864,(2019 AS11),26.8,0.0116025908,0.0259441818,False,2025-01-03,11.8634390203,48375536.34533886,2026-04-15 20:51:40.360009,0.0187733863,2026-04-15 15:56:41
