id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
54518626,(2025 CQ),24.43,0.0345585074,0.0772751717,False,2025-02-05,16.9208765731,2244881.330036563,2026-02-25T21:13:34.957980
54518668,(2025 CA1),27.86,0.0071212294,0.015923553,False,2025-02-05,9.6829842505,1109701.516280455,2026-02-25T21:13:34.957982
54518715,(2025 CQ1),26.2,0.0152951935,0.0342010925,False,2025-02-05,18.0517221545,879490.709741201,2026-02-25T21:13:34.957985
54519255,(2025 CQ3),25.46,0.021505769,0.0480883614,False,2025-02-05,15.5270712629,3932565.810896943,2026-02-25T21:13:34.957987
54520812,(2025 DR7),25.12,0.0251509837,0.0562393094,False,2025-02-05,7.8597852012,3858333.522708929,2026-02-25T21:13:34.957989
54521714,(2025 DG27),24.67,0.0309424699,0.069189466,False,2025-02-05,4.592599511,20378347.902565262,2026-02-25T21:13:34.957990
3114026,(2002 CC14),24.8,0.0291443905,0.0651688382,False,2025-02-04,12.6879328422,3221481.327919149,2026-02-25T21:13:34.957995
3550466,(2010 VZ11),25.6,0.0201629919,0.0450858206,False,2025-02-04,5.509707406,42213564.685182814,2026-02-25T21:13:34.957997
3553988,(2010 XR69),25.4,0.022108281,0.0494356193,False,2025-02-04,11.7834695066,41739188.119037309,2026-02-25T21:13:34.957999
3721289,(2015 MC),24.11,0.0400456158,0.0895447192,False,2025-02-04,6.724320869,27392185.066034908,2026-02-25T21:13:34.958001
3721991,(2015 MT59),19.56,0.3255029858,0.727846803,False,2025-02-04,29.3302868504,60364054.971724968,2026-02-25T21:13:34.958003
3739246,(2016 AZ8),21.07,0.1623883902,0.3631114793,True,2025-02-04,22.5247297071,67311767.707485499,2026-02-25T21:13:34.958005
3789390,(2017 VU13),20.89,0.1764229081,0.3944936153,False,2025-02-04,16.3666022187,52858560.743352507,2026-02-25T21:13:34.958007
3836246,(2018 VR9),22.7,0.0766575574,0.1714115092,False,2025-02-04,33.5783332757,45636721.070818078,2026-02-25T21:13:34.958009
3838075,(2019 BZ4),26.27,0.0148099972,0.0331161605,False,2025-02-04,7.6764888296,14941503.44752434,2026-02-25T21:13:34.958011
3989259,(2020 BL11),27.8,0.0073207399,0.016369672,False,2025-02-04,14.1089292678,65392950.777528369,2026-02-25T21:13:34.958013
54245563,(2022 CX1),27.05,0.01034082,0.0231227764,False,2025-02-04,16.2877622095,23831307.609695749,2026-02-25T21:13:34.958015
54317855,(2022 UG3),29.32,0.0036354232,0.0081290534,False,2025-02-04,11.8702618464,33652398.948921419,2026-02-25T21:13:34.958017
54485070,(2024 SV5),23.18,0.0614546821,0.1374168468,False,2025-02-04,10.6608432255,50258543.195406014,2026-02-25T21:13:34.958019
54516260,(2025 BR),26.49,0.0133830462,0.029925401,False,2025-02-04,6.03776507,4713681.739235068,2026-02-25T21:13:34.958021
54516850,(2025 BB2),25.64,0.0197949759,0.0442629117,False,2025-02-04,6.5318647808,291451.566902858,2026-02-25T21:13:34.958023
54518710,(2025 CN1),26.32,0.0144728805,0.0323623447,False,2025-02-04,9.9074562626,4549773.8755432,2026-02-25T21:13:34.958026
54518888,(2025 CC2),25.41,0.0220067027,0.0492084832,False,2025-02-04,14.8545586945,6296416.043833966,2026-02-25T21:13:34.958027
