nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,categoria_tamano,fecha_procesamiento
54354505,(2023 HM),27.82,0.0072536229,0.016219594,False,2026-04-21,27.6935909208,39132424.69449976,2026-04-15 06:25:52.411605,0.01173660845,Pequeño,2026-04-15 01:26:00
54390603,(2023 SL8),24.4,0.0350392641,0.0783501764,False,2026-04-21,8.7761265015,39548886.958518974,2026-04-15 06:25:52.411618,0.05669472025,Mediano,2026-04-15 01:26:00
54527652,(2025 HQ4),26.04,0.0164647438,0.0368162863,False,2026-04-21,12.5429691927,6272500.056753871,2026-04-15 06:25:52.411757,0.02664051505,Pequeño,2026-04-15 01:26:00
54607545,(2026 GJ1),23.563,0.0515175233,0.1151966842,False,2026-04-21,22.2886072638,3346967.297468502,2026-04-15 06:25:52.411770,0.08335710375,Mediano,2026-04-15 01:26:00
54607631,(2026 GZ1),24.3,0.0366906138,0.0820427065,False,2026-04-21,10.2575739889,5953651.360336018,2026-04-15 06:25:52.411778,0.05936666015,Mediano,2026-04-15 01:26:00
2090416,90416 (2003 YK118),18.83,0.4555698523,1.0186851583,True,2026-04-19,9.806587738,26906590.694170438,2026-04-15 06:25:52.411799,0.7371275053,Grande,2026-04-15 01:26:00
3763337,(2016 VX1),25.0,0.02658,0.0594346868,False,2026-04-19,14.0071664068,54730668.954756334,2026-04-15 06:25:52.411807,0.043007343399999995,Pequeño,2026-04-15 01:26:00
3767035,(2017 BF29),25.59,0.0202560601,0.0452939273,False,2026-04-19,0.5628267579,21563372.215666883,2026-04-15 06:25:52.411817,0.032774993700000005,Pequeño,2026-04-15 01:26:00
3836249,(2018 WA),26.9,0.0110803882,0.0247765013,False,2026-04-19,7.9906953189,69496329.75515829,2026-04-15 06:25:52.411826,0.01792844475,Pequeño,2026-04-15 01:26:00
3841630,(2019 HV3),24.0,0.0421264611,0.0941976306,False,2026-04-19,9.3454262088,17659820.91165644,2026-04-15 06:25:52.411833,0.06816204584999999,Mediano,2026-04-15 01:26:00
