ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Bogota,Colombia,4.600,-74.083,20,20,49,4,Partly cloudy,2026-02-28 12:50:04.062125,116
Cali,Colombia,3.437,-76.523,29,32,58,4,Partly cloudy,2026-02-28 12:50:05.327492,116
Cartagena,Colombia,10.400,-75.514,31,38,71,14,Partly cloudy,2026-02-28 12:50:06.252651,116
